iter	Logloss
0	0.6811977202
1	0.6698705905
2	0.6581479196
3	0.647284168
4	0.6377385231
5	0.6265610783
6	0.6172224153
7	0.6070882994
8	0.5975279332
9	0.588403198
10	0.5790184675
11	0.5700951935
12	0.5611591879
13	0.5524210232
14	0.5432829315
15	0.5351771846
16	0.5281048049
17	0.5189101264
18	0.5116008886
19	0.5043839084
20	0.4976635181
21	0.4891218583
22	0.487253757
23	0.4793493566
24	0.4740524337
25	0.4669291214
26	0.4589270732
27	0.4521915533
28	0.4462530666
29	0.4399068007
30	0.4342528277
31	0.4288574192
32	0.4237962208
33	0.4211765046
34	0.4160019764
35	0.4106857766
36	0.4057176609
37	0.4020752056
38	0.3963176667
39	0.3911738091
40	0.386080028
41	0.3823030867
42	0.3780748845
43	0.374620143
44	0.3701614686
45	0.3665784945
46	0.3617064875
47	0.3569721908
48	0.3526991231
49	0.349741125
50	0.3458225544
51	0.3427654188
52	0.3393987499
53	0.3355846606
54	0.3318173876
55	0.3284676996
56	0.3261470563
57	0.3228458626
58	0.3186633459
59	0.3151353615
60	0.3131767755
61	0.3106024993
62	0.3077923125
63	0.3050121786
64	0.302554641
65	0.29971893
66	0.2975137115
67	0.2952231041
68	0.2926989163
69	0.2905385976
70	0.287813004
71	0.286097769
72	0.2835359444
73	0.281565925
74	0.2792423431
75	0.2770884874
76	0.2751583367
77	0.2727188595
78	0.2705385919
79	0.268746349
80	0.2672210041
81	0.2656228365
82	0.2636607891
83	0.2621887555
84	0.2607446383
85	0.2588027763
86	0.257160052
87	0.2558206149
88	0.2545087736
89	0.2526756159
90	0.2503490871
91	0.2482455284
92	0.2465911987
93	0.2449267509
94	0.2432894468
95	0.2413331483
96	0.2396973144
97	0.2382473429
98	0.2361019121
99	0.2342851809
100	0.2326600101
101	0.2306432811
102	0.2289559697
103	0.227064222
104	0.2256361933
105	0.2244383588
106	0.2233278673
107	0.2215496864
108	0.2201799936
109	0.2187841995
110	0.2179097147
111	0.2167050534
112	0.2154343483
113	0.2139421821
114	0.2126214587
115	0.2111001556
116	0.2102303699
117	0.2088526124
118	0.2078242946
119	0.206806863
120	0.2055212269
121	0.2040921546
122	0.2029444253
123	0.201973851
124	0.2016669085
125	0.2003411136
126	0.1991533929
127	0.198001208
128	0.1971596913
129	0.1962458922
130	0.1950528937
131	0.1941998676
132	0.1928981677
133	0.1918002297
134	0.1908101714
135	0.1898232911
136	0.1891047355
137	0.1879965052
138	0.1867505445
139	0.1855408051
140	0.1846501174
141	0.1836174621
142	0.182494017
143	0.1814218251
144	0.1803209788
145	0.1794708973
146	0.1785632753
147	0.1778652728
148	0.1766371515
149	0.1759263241
150	0.1750439049
151	0.1744214108
152	0.1733979313
153	0.1722825194
154	0.1711336569
155	0.1705044866
156	0.1697492838
157	0.1689568108
158	0.1680944553
159	0.167634914
160	0.1668701322
161	0.1659651806
162	0.1653213727
163	0.1644499239
164	0.1635145214
165	0.1628932033
166	0.1619625036
167	0.1609705396
168	0.16022189
169	0.1594202804
170	0.1582374004
171	0.1575495554
172	0.1567272099
173	0.1558919562
174	0.1551967325
175	0.154579947
176	0.1535172628
177	0.152850917
178	0.1522403817
179	0.1516471709
180	0.1509413134
181	0.1500888854
182	0.1495763016
183	0.1488306487
184	0.1481099945
185	0.1474675794
186	0.1469659174
187	0.1464105413
188	0.1458080071
189	0.1452837902
190	0.1444973597
191	0.1439102809
192	0.1431805996
193	0.1424517249
194	0.1419018057
195	0.1412969495
196	0.1406625924
197	0.1400642949
198	0.1392856352
199	0.1388489005
200	0.1383296577
201	0.1378437639
202	0.1372789384
203	0.1366023678
204	0.1360731661
205	0.1355964283
206	0.1350515227
207	0.1346139246
208	0.1340561043
209	0.1337388832
210	0.1331809572
211	0.1328551513
212	0.13232141
213	0.131831178
214	0.1314374553
215	0.1309212901
216	0.1302608808
217	0.1298160263
218	0.1293849181
219	0.1287792732
220	0.128316695
221	0.1277999488
222	0.1272712898
223	0.1268538545
224	0.1263919324
225	0.1259302377
226	0.125361522
227	0.1250638512
228	0.1245763482
229	0.1242941935
230	0.1236920659
231	0.1229700406
232	0.1224532431
233	0.1218822023
234	0.1213649462
235	0.1207835273
236	0.1202937207
237	0.1199218313
238	0.1194474707
239	0.1188678748
240	0.1185807025
241	0.1180609028
242	0.1176113741
243	0.1171684064
244	0.1166741653
245	0.1163117607
246	0.1158784882
247	0.1155101732
248	0.1150410663
249	0.1144443279
250	0.114101648
251	0.1135538579
252	0.1132907039
253	0.1129233525
254	0.1123857852
255	0.1119187182
256	0.1114026707
257	0.1108424607
258	0.1105807996
259	0.1101989194
260	0.1097402509
261	0.109439085
262	0.1088046587
263	0.108473632
264	0.1082377172
265	0.1079362911
266	0.107594216
267	0.1071241661
268	0.1066860801
269	0.1062692564
270	0.1058852204
271	0.105478704
272	0.105077155
273	0.1047380616
274	0.1043199364
275	0.1039710991
276	0.1035449179
277	0.1033295582
278	0.1027738017
279	0.1024724539
280	0.1022206067
281	0.1018344555
282	0.1015030348
283	0.1011588188
284	0.1008654484
285	0.10086365
286	0.1005064571
287	0.1003014457
288	0.09991391042
289	0.09952279495
290	0.09900110453
291	0.09864774733
292	0.09847626023
293	0.09812795121
294	0.09780501988
295	0.09766913784
296	0.09739132639
297	0.09705136691
298	0.09674913049
299	0.09633515337
300	0.09605494298
301	0.09566213866
302	0.09530235667
303	0.09482027827
304	0.0944595449
305	0.09409817958
306	0.09366335884
307	0.09339207464
308	0.09306179912
309	0.09275765891
310	0.09242992981
311	0.09217144376
312	0.09177302373
313	0.09153632256
314	0.09125230916
315	0.09102967723
316	0.09079200968
317	0.09042249883
318	0.09014432221
319	0.08989903516
320	0.08970322372
321	0.08949361238
322	0.08920574491
323	0.08890972363
324	0.08868208967
325	0.08838151675
326	0.08807887882
327	0.08782504439
328	0.08758735271
329	0.08737131575
330	0.08706550104
331	0.08678552117
332	0.08659166409
333	0.08632826923
334	0.08602048333
335	0.08582057111
336	0.08551326751
337	0.08518150765
338	0.08486874999
339	0.08455509739
340	0.08424942774
341	0.08391138489
342	0.08370258189
343	0.08352522007
344	0.08322462925
345	0.0829111269
346	0.08267980142
347	0.08236706029
348	0.08200546776
349	0.08161194172
350	0.08134371697
351	0.08117972681
352	0.08093543099
353	0.08066532237
354	0.08046834708
355	0.08037983629
356	0.08010189375
357	0.0797788611
358	0.07962308881
359	0.07941737083
360	0.07916123799
361	0.07896272859
362	0.07875878808
363	0.07851829441
364	0.07828510276
365	0.07796471563
366	0.07768163713
367	0.0774947745
368	0.07724009574
369	0.07702211447
370	0.07681214024
371	0.07659482441
372	0.0763849722
373	0.07618129923
374	0.07590837924
375	0.07570906004
376	0.07551925784
377	0.07523401513
378	0.07494888467
379	0.07471974164
380	0.07446944183
381	0.07419558381
382	0.07391766301
383	0.07371403792
384	0.07344005756
385	0.07328582317
386	0.07294865476
387	0.07276359666
388	0.07253778404
389	0.07227313796
390	0.07204051046
391	0.07182164287
392	0.07154561194
393	0.07130678977
394	0.07111682645
395	0.07095992815
396	0.07077516858
397	0.07051204357
398	0.07027789666
399	0.07011511819
400	0.06990621421
401	0.06962048623
402	0.06941906975
403	0.06924187563
404	0.06889411045
405	0.06873739054
406	0.06854143206
407	0.06836334306
408	0.06813230453
409	0.06794309936
410	0.06776029361
411	0.06759682087
412	0.06735751185
413	0.06716381809
414	0.06697610255
415	0.0668327621
416	0.06667772492
417	0.0664847896
418	0.06620890089
419	0.06607168528
420	0.06582378487
421	0.06565755257
422	0.0654762416
423	0.06532099457
424	0.06512477113
425	0.06511987929
426	0.06491984095
427	0.06466631512
428	0.06445426914
429	0.06418974871
430	0.06395709566
431	0.06374048358
432	0.06359106049
433	0.06341213097
434	0.06327337043
435	0.06300313332
436	0.06279538347
437	0.06260828806
438	0.06246882826
439	0.06234415546
440	0.06233727938
441	0.06219833144
442	0.06202780903
443	0.06183503377
444	0.06168211713
445	0.06152332761
446	0.06132688105
447	0.06116151233
448	0.06095330986
449	0.06079651056
450	0.06058217585
451	0.06043208294
452	0.06024168647
453	0.06006154223
454	0.05974460568
455	0.05959382115
456	0.05945755868
457	0.05933940829
458	0.05914421115
459	0.05898877568
460	0.05885870162
461	0.05871623149
462	0.05855028733
463	0.0583850965
464	0.05825121449
465	0.0580900778
466	0.05794964591
467	0.05785433727
468	0.0576787367
469	0.0575092948
470	0.05733814431
471	0.0571999068
472	0.05706836274
473	0.0569764937
474	0.05674099807
475	0.05661195078
476	0.05645076612
477	0.05624249723
478	0.0560873164
479	0.05598774063
480	0.05582096075
481	0.05571937153
482	0.05552171864
483	0.05527147117
484	0.05514975529
485	0.05497856802
486	0.05485889032
487	0.05470471178
488	0.05453845529
489	0.05438263277
490	0.05427331528
491	0.05421253683
492	0.05407258793
493	0.05385078219
494	0.05362911265
495	0.05350222875
496	0.05331999313
497	0.05320191904
498	0.05309408272
499	0.05289570379
500	0.05276659894
501	0.05255106182
502	0.05242770719
503	0.05227666212
504	0.0521335094
505	0.05193485661
506	0.0517562306
507	0.05162941778
508	0.05147479254
509	0.05133541075
510	0.05122511685
511	0.05105661372
512	0.05090666299
513	0.05077568499
514	0.05062426192
515	0.05048039675
516	0.05037040493
517	0.05023211583
518	0.05011301515
519	0.050015279
520	0.04990318237
521	0.04980341287
522	0.04972618642
523	0.04960924223
524	0.04945877972
525	0.04931749367
526	0.04920395073
527	0.04908379822
528	0.04892381887
529	0.04879703154
530	0.048699139
531	0.04859125341
532	0.04844823482
533	0.04825881951
534	0.04815910242
535	0.04803180006
536	0.04792102443
537	0.047827704
538	0.04771292987
539	0.04756549755
540	0.04742670704
541	0.04729501738
542	0.04714274468
543	0.04705703927
544	0.04697689759
545	0.04684217003
546	0.04672586957
547	0.04661103562
548	0.04648560161
549	0.0463703754
550	0.04629271085
551	0.04617687231
552	0.04601589321
553	0.04592420713
554	0.04576590693
555	0.04564392923
556	0.04555558693
557	0.04545000603
558	0.04537272887
559	0.04525347592
560	0.04512815568
561	0.04494625279
