iter	Passed	Remaining
0	156	156430
1	166	82962
2	175	58453
3	186	46330
4	194	38801
5	201	33411
6	206	29286
7	210	26145
8	214	23613
9	216	21441
10	218	19646
11	220	18143
12	222	16877
13	224	15791
14	226	14855
15	228	14033
16	230	13312
17	232	12671
18	234	12096
19	236	11574
20	238	11108
21	240	10704
22	242	10286
23	244	9924
24	246	9594
25	248	9292
26	250	9011
27	252	8752
28	254	8508
29	256	8282
30	258	8074
31	260	7871
32	262	7682
33	263	7495
34	265	7329
35	267	7171
36	269	7024
37	271	6882
38	273	6747
39	275	6619
40	277	6495
41	279	6378
42	281	6268
43	283	6163
44	285	6062
45	287	5964
46	289	5871
47	291	5782
48	293	5698
49	295	5616
50	297	5538
51	299	5464
52	301	5392
53	303	5322
54	305	5254
55	307	5187
56	309	5124
57	311	5063
58	313	5002
59	315	4945
60	317	4889
61	319	4834
62	321	4780
63	323	4730
64	325	4680
65	327	4632
66	329	4583
67	331	4539
68	333	4496
69	335	4455
70	337	4414
71	339	4374
72	341	4336
73	343	4300
74	345	4265
75	347	4228
76	349	4195
77	352	4161
78	354	4127
79	356	4095
80	358	4064
81	360	4033
82	362	4003
83	364	3973
84	366	3945
85	368	3915
86	370	3887
87	372	3860
88	374	3833
89	376	3807
90	378	3780
91	380	3754
92	382	3730
93	384	3705
94	386	3682
95	388	3658
96	390	3635
97	392	3612
98	394	3589
99	396	3566
100	398	3544
101	400	3524
102	402	3504
103	404	3483
104	406	3463
105	408	3444
106	410	3425
107	412	3406
108	414	3388
109	416	3370
110	418	3355
111	421	3339
112	423	3323
113	425	3310
114	428	3295
115	430	3283
116	433	3271
117	435	3256
118	437	3242
119	439	3226
120	442	3211
121	444	3196
122	446	3181
123	448	3166
124	449	3149
125	452	3135
126	454	3120
127	456	3107
128	458	3093
129	460	3079
130	462	3065
131	464	3051
132	466	3038
133	468	3027
134	470	3014
135	472	3001
136	474	2989
137	476	2978
138	478	2966
139	481	2955
140	483	2943
141	485	2932
142	487	2921
143	489	2909
144	491	2900
145	493	2889
146	496	2878
147	498	2868
148	500	2856
149	502	2846
150	504	2836
151	506	2825
152	508	2815
153	510	2805
154	512	2795
155	514	2785
156	516	2775
157	519	2766
158	521	2756
159	523	2746
160	525	2737
161	527	2727
162	529	2718
163	531	2709
164	533	2700
165	535	2691
166	537	2682
167	540	2674
168	542	2666
169	544	2658
170	546	2650
171	548	2641
172	550	2633
173	553	2625
174	555	2617
175	557	2609
176	559	2601
177	561	2593
178	563	2584
179	565	2577
